lista_hombres,frecuencia,frecuencia_%
84,0.0007680491551459293,0.08
491,0.0007680491551459293,0.08
646,0.0007680491551459293,0.08
287,0.0007680491551459293,0.08
314,0.0007680491551459293,0.08
454,0.0007680491551459293,0.08
1430,0.0005120327700972862,0.05
1307,0.0005120327700972862,0.05
1661,0.0005120327700972862,0.05
1363,0.0005120327700972862,0.05
902,0.0005120327700972862,0.05
1935,0.0005120327700972862,0.05
72,0.0005120327700972862,0.05
1638,0.0005120327700972862,0.05
898,0.0005120327700972862,0.05
202,0.0005120327700972862,0.05
113,0.0005120327700972862,0.05
998,0.0005120327700972862,0.05
91,0.0005120327700972862,0.05
993,0.0005120327700972862,0.05
75,0.0005120327700972862,0.05
191,0.0005120327700972862,0.05
1081,0.0005120327700972862,0.05
160,0.0005120327700972862,0.05
178,0.0005120327700972862,0.05
89,0.0005120327700972862,0.05
929,0.0005120327700972862,0.05
835,0.0005120327700972862,0.05
1417,0.0005120327700972862,0.05
1230,0.0005120327700972862,0.05
196,0.0005120327700972862,0.05
746,0.0005120327700972862,0.05
747,0.0005120327700972862,0.05
1448,0.0005120327700972862,0.05
1251,0.0005120327700972862,0.05
1660,0.0005120327700972862,0.05
56,0.0005120327700972862,0.05
1097,0.0005120327700972862,0.05
1630,0.0005120327700972862,0.05
219,0.0005120327700972862,0.05
1355,0.0005120327700972862,0.05
1310,0.0005120327700972862,0.05
2874,0.0005120327700972862,0.05
1029,0.0005120327700972862,0.05
757,0.0005120327700972862,0.05
999,0.0005120327700972862,0.05
1345,0.0005120327700972862,0.05
1695,0.0005120327700972862,0.05
1282,0.0005120327700972862,0.05
1244,0.0005120327700972862,0.05
119,0.0005120327700972862,0.05
327,0.0005120327700972862,0.05
1055,0.0005120327700972862,0.05
939,0.0005120327700972862,0.05
931,0.0005120327700972862,0.05
1237,0.0005120327700972862,0.05
1384,0.0005120327700972862,0.05
1342,0.0005120327700972862,0.05
153,0.0005120327700972862,0.05
1758,0.0005120327700972862,0.05
1279,0.0005120327700972862,0.05
1669,0.0005120327700972862,0.05
867,0.0005120327700972862,0.05
356,0.0005120327700972862,0.05
845,0.0005120327700972862,0.05
787,0.0005120327700972862,0.05
114,0.0005120327700972862,0.05
107,0.0005120327700972862,0.05
814,0.0005120327700972862,0.05
532,0.0005120327700972862,0.05
647,0.0005120327700972862,0.05
1010,0.0005120327700972862,0.05
942,0.0005120327700972862,0.05
977,0.0005120327700972862,0.05
433,0.0005120327700972862,0.05
816,0.0005120327700972862,0.05
575,0.0005120327700972862,0.05
1722,0.0005120327700972862,0.05
259,0.0005120327700972862,0.05
953,0.0005120327700972862,0.05
137,0.0005120327700972862,0.05
49,0.0005120327700972862,0.05
1302,0.0005120327700972862,0.05
154,0.0005120327700972862,0.05
233,0.0005120327700972862,0.05
274,0.0005120327700972862,0.05
687,0.0005120327700972862,0.05
805,0.0005120327700972862,0.05
2071,0.0005120327700972862,0.05
423,0.0005120327700972862,0.05
225,0.0005120327700972862,0.05
1084,0.0005120327700972862,0.05
753,0.0005120327700972862,0.05
411,0.0005120327700972862,0.05
462,0.0005120327700972862,0.05
432,0.0005120327700972862,0.05
903,0.0005120327700972862,0.05
455,0.0005120327700972862,0.05
828,0.0005120327700972862,0.05
1408,0.0005120327700972862,0.05
302,0.0005120327700972862,0.05
1088,0.0005120327700972862,0.05
64,0.0005120327700972862,0.05
1017,0.0005120327700972862,0.05
230,0.0005120327700972862,0.05
1159,0.0005120327700972862,0.05
162,0.0005120327700972862,0.05
1066,0.0005120327700972862,0.05
683,0.0005120327700972862,0.05
373,0.0005120327700972862,0.05
930,0.0005120327700972862,0.05
861,0.0005120327700972862,0.05
329,0.0005120327700972862,0.05
1537,0.0005120327700972862,0.05
769,0.0005120327700972862,0.05
1750,0.0005120327700972862,0.05
1297,0.0005120327700972862,0.05
779,0.0005120327700972862,0.05
1432,0.0005120327700972862,0.05
864,0.0005120327700972862,0.05
1333,0.0005120327700972862,0.05
1547,0.0005120327700972862,0.05
2183,0.0005120327700972862,0.05
1422,0.0005120327700972862,0.05
771,0.0005120327700972862,0.05
1020,0.0005120327700972862,0.05
745,0.0005120327700972862,0.05
134,0.0005120327700972862,0.05
93,0.0005120327700972862,0.05
874,0.0005120327700972862,0.05
601,0.0005120327700972862,0.05
1610,0.0005120327700972862,0.05
236,0.0005120327700972862,0.05
1129,0.0005120327700972862,0.05
665,0.0005120327700972862,0.05
911,0.0005120327700972862,0.05
979,0.0005120327700972862,0.05
563,0.0005120327700972862,0.05
170,0.0005120327700972862,0.05
192,0.0005120327700972862,0.05
856,0.0005120327700972862,0.05
234,0.0005120327700972862,0.05
1292,0.0005120327700972862,0.05
1400,0.0005120327700972862,0.05
86,0.0005120327700972862,0.05
1072,0.0005120327700972862,0.05
515,0.0005120327700972862,0.05
1044,0.0005120327700972862,0.05
1110,0.0005120327700972862,0.05
1673,0.0005120327700972862,0.05
692,0.0005120327700972862,0.05
155,0.0005120327700972862,0.05
1091,0.0005120327700972862,0.05
126,0.0005120327700972862,0.05
1698,0.0005120327700972862,0.05
205,0.0005120327700972862,0.05
171,0.0005120327700972862,0.05
2214,0.0005120327700972862,0.05
268,0.0005120327700972862,0.05
211,0.0005120327700972862,0.05
311,0.0005120327700972862,0.05
335,0.0005120327700972862,0.05
568,0.0005120327700972862,0.05
675,0.0005120327700972862,0.05
1023,0.0005120327700972862,0.05
468,0.0005120327700972862,0.05
1063,0.0005120327700972862,0.05
565,0.0005120327700972862,0.05
1308,0.0005120327700972862,0.05
1456,0.0005120327700972862,0.05
1361,0.0005120327700972862,0.05
991,0.0005120327700972862,0.05
1799,0.0005120327700972862,0.05
449,0.0005120327700972862,0.05
298,0.0005120327700972862,0.05
